iter	RMSE
0	248.2112209
1	231.7315894
2	215.9103222
3	202.1290136
4	188.8636642
5	177.3245337
6	165.7194747
7	155.4226894
8	144.6214552
9	135.4863227
10	127.185305
11	119.7138359
12	112.8175884
13	106.6580742
14	101.0778403
15	95.13072181
16	89.60440146
17	84.65934296
18	80.00589447
19	76.42589537
20	72.40277401
21	68.82534073
22	65.54641885
23	62.69099595
24	59.42054381
25	56.71221463
26	54.21461072
27	51.44858079
28	49.29317923
29	46.75843566
30	44.67425906
31	43.10488634
32	41.43972088
33	39.8124039
34	38.17846104
35	36.83774131
36	35.59239087
37	34.61925807
38	33.56850977
39	32.57424563
40	31.67702457
41	30.6174864
42	29.78826496
43	28.92338829
44	28.17696266
45	27.60045017
46	26.95418587
47	26.20744455
48	25.61196319
49	24.88685319
50	24.38105713
51	23.81447944
52	23.33851229
53	22.88402957
54	22.56661141
55	22.09073375
56	21.73697714
57	21.3405484
58	21.10351444
59	20.61550904
60	20.31859965
61	19.92178539
62	19.55185276
63	19.20540667
64	18.85013115
65	18.62818458
66	18.3546203
67	18.03186811
68	17.72676112
69	17.47368663
70	17.23153598
71	17.08580898
72	16.89391636
73	16.69195487
74	16.51217282
75	16.33995161
76	16.13362017
77	15.87339946
78	15.75451871
79	15.6381158
80	15.44248506
81	15.24640515
82	15.12454808
83	14.89664659
84	14.74108676
85	14.58674769
86	14.3920649
87	14.20850172
88	14.04753654
89	13.9378913
90	13.85361224
91	13.70912134
92	13.57169175
93	13.43143454
94	13.31091543
95	13.18222541
96	13.04048034
97	12.93485029
98	12.82644063
99	12.74469081
