iter	Passed	Remaining
0	2	216
1	3	194
2	5	184
3	7	177
4	9	172
5	10	167
6	12	165
7	14	163
8	16	164
9	18	162
10	20	163
11	22	161
12	23	158
13	25	155
14	27	153
15	28	151
16	30	149
17	32	146
18	34	145
19	35	143
20	37	140
21	39	138
22	40	136
23	42	134
24	44	132
25	46	130
26	47	129
27	49	127
28	51	125
29	52	123
30	54	121
31	56	119
32	57	117
33	59	115
34	61	114
35	63	112
36	65	110
37	66	109
38	68	107
39	70	105
40	72	103
41	73	101
42	75	100
43	77	98
44	79	96
45	80	94
46	82	93
47	84	91
48	86	89
49	87	87
50	89	85
51	90	83
52	92	82
53	94	80
54	96	78
55	97	76
56	99	75
57	101	73
58	102	71
59	104	69
60	106	68
61	108	66
62	109	64
63	111	62
64	113	61
65	115	59
66	116	57
67	118	55
68	120	54
69	122	52
70	123	50
71	125	48
72	127	47
73	129	45
74	131	43
75	133	42
76	135	40
77	137	38
78	138	36
79	140	35
80	142	33
81	144	31
82	146	30
83	148	28
84	150	26
85	152	24
86	154	23
87	155	21
88	157	19
89	159	17
90	161	15
91	162	14
92	164	12
93	166	10
94	168	8
95	169	7
96	171	5
97	173	3
98	174	1
99	176	0
